CustomerID,Gender,Senior_Citizen,Partner,Dependents,Tenure,Service_type,Multiple_Lines,Internet_Service_type,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Number_of_Referrals,Offer,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Upgraded_to_Unlimited_Data,Total_Long_Distance_Charges,Total_Revenue,Churn
0093-EXYQL,Female,1,No,No,40,Phone Service,No,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,Yes,Electronic check,91.55,3673.6,0,No,44.14,23,Yes,1765.6,5439.2,No
0093-XWZFY,Male,0,No,No,40,Phone Service,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Credit card (automatic),104.5,4036.85,0,No,37.69,15,Yes,1507.6,5544.45,Yes
0094-OIFMO,Female,1,No,No,11,Phone Service,No,Fiber Optic,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Electronic check,95,1120.3,0,Offer D,11.59,29,No,127.49,1367.79,Yes
0096-BXERS,Female,0,Yes,No,6,Phone Service,Yes,Cable,No,No,No,No,No,No,Month-to-Month,No,Electronic check,50.35,314.55,10,Offer E,42.66,85,Yes,255.96,570.51,No
0096-FCPUF,Male,0,No,No,30,Phone Service,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed check,64.5,1888.45,0,No,2.64,15,Yes,79.2,1967.65,No
0098-BOWSO,Male,0,No,No,27,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Electronic check,19.4,529.8,0,No,20.66,0,Phone customers,557.82,1087.62,No
0100-DUVFC,Male,1,Yes,No,70,Phone Service,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,One Year,Yes,Electronic check,104.8,7308.95,3,No,39.49,28,Yes,2764.3,10067.14,No
0103-CSITQ,Female,0,Yes,No,57,Phone Service,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank transfer (automatic),109.4,6252.7,10,Offer B,8.01,73,Yes,456.57,6709.27,No
0104-PPXDV,Male,0,Yes,No,58,Phone Service,No,DSL,No,No,Yes,No,No,No,One Year,No,Credit card (automatic),50.3,2878.55,10,No,18.37,18,Yes,1065.46,3933.78,No
0106-GHRQR,Male,0,No,No,16,Phone Service,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank transfer (automatic),71.4,1212.1,0,No,25.71,48,Yes,411.36,1623.46,No
0106-UGRDO,Female,0,Yes,No,69,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic check,116,8182.85,3,Offer A,38.52,27,Yes,2657.88,10840.73,No
0107-WESLM,Male,0,No,No,1,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Electronic check,19.85,19.85,0,Offer E,31.77,0,Phone customers,31.77,51.62,Yes
0107-YHINA,Male,0,No,Yes,1,Phone Service,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Electronic check,99.75,99.75,0,No,40.71,25,Yes,40.71,140.46,Yes
0111-KLBQG,Male,1,Yes,Yes,32,Phone Service,No,Fiber Optic,No,Yes,No,No,Yes,Yes,One Year,Yes,Mailed check,93.95,2861.45,9,Offer C,31.86,23,Yes,1019.52,3880.97,No
0112-QAWRZ,Male,0,Yes,Yes,16,Phone Service,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank transfer (automatic),90.8,1442.2,8,Offer D,48.71,12,Yes,779.36,2221.56,No
0112-QWPNC,Male,0,Yes,No,49,Phone Service,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Electronic check,84.35,4059.35,1,Offer B,39.55,10,Yes,1937.95,5997.3,Yes
0114-IGABW,Female,0,Yes,No,71,Internet Service,No phone service,Cable,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank transfer (automatic),58.25,4145.9,2,Offer A,0,29,Yes,0,4145.9,No
0114-PEGZZ,Female,0,No,No,33,Phone Service,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Electronic check,107.55,3645.5,0,No,49.69,12,Yes,1639.77,5285.27,No
0114-RSRRW,Female,0,Yes,No,10,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Bank transfer (automatic),19.95,187.75,9,Offer D,49.6,0,Phone customers,496,683.75,No
0115-TFERT,Male,0,Yes,No,21,Phone Service,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic check,111.2,2317.1,1,No,36.26,59,No,761.46,3198.56,Yes
0117-LFRMW,Male,0,Yes,Yes,37,Internet Service,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-Month,No,Bank transfer (automatic),40.2,1448.8,1,No,0,23,Yes,0,1448.8,Yes
0118-JPNOY,Female,1,No,No,26,Phone Service,No,Fiber Optic,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Credit card (automatic),85.8,2193.65,0,No,33.74,7,Yes,877.24,3070.89,No
0121-SNYRK,Male,0,No,No,50,Internet Service,No phone service,DSL,Yes,No,No,Yes,No,No,One Year,Yes,Mailed check,35.4,1748.9,0,Offer B,0,7,Yes,0,1748.9,No
0122-OAHPZ,Female,0,No,No,7,Phone Service,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,73.85,511.25,0,No,28.62,26,Yes,200.34,698.56,Yes
0123-CRBRT,Female,0,Yes,Yes,61,Phone Service,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed check,88.1,5526.75,1,Offer B,47.19,28,Yes,2878.59,8405.34,No
0125-LZQXK,Male,0,No,No,15,Phone Service,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic check,101.35,1553.95,0,Offer D,45.92,12,Yes,688.8,2242.75,Yes
0128-MKWSG,Female,0,No,Yes,26,Internet Service,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Mailed check,45.8,1147,0,No,0,19,Yes,0,1147,No
0129-KPTWJ,Male,0,Yes,No,72,Phone Service,No,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Electronic check,94.65,6747.35,9,No,33.22,23,Yes,2391.84,9139.19,No
0129-QMPDR,Male,0,Yes,Yes,44,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,Yes,Bank transfer (automatic),20.5,865.05,1,No,27.4,0,Phone customers,1205.6,2070.65,No
0130-SXOUN,Male,0,No,No,66,Phone Service,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Month-to-Month,No,Credit card (automatic),89.4,5976.9,0,Offer A,48.78,8,No,3219.48,9200.36,No
0133-BMFZO,Female,0,No,No,2,Phone Service,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Month-to-Month,Yes,Electronic check,86.25,181.65,0,No,36.81,16,Yes,73.62,255.27,Yes
0134-XWXCE,Female,1,No,No,44,Phone Service,No,DSL,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank transfer (automatic),74.85,3268.05,0,No,7.72,17,Yes,339.68,3589.82,No
0135-NMXAP,Female,0,No,No,12,Phone Service,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank transfer (automatic),89.75,1052.4,0,Offer D,14.38,6,Yes,172.56,1224.96,Yes
0136-IFMYD,Male,1,Yes,No,69,Phone Service,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic check,109.95,7634.25,1,No,18.41,17,Yes,1270.29,8904.54,No
0137-OCGAB,Female,0,No,No,1,Phone Service,Yes,Fiber Optic,No,Yes,No,No,No,No,Month-to-Month,Yes,Mailed check,80.2,80.2,0,Offer E,1.23,69,Yes,1.23,81.43,Yes
0137-UDEUO,Female,0,No,No,3,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,19.85,63.75,0,Offer E,25.75,0,Phone customers,77.25,141,Yes
0139-IVFJG,Female,0,Yes,No,2,Phone Service,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-Month,No,Electronic check,90.35,190.5,10,No,4.65,53,Yes,9.3,199.8,No
0141-YEAYS,Female,1,No,No,27,Phone Service,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Two Year,Yes,Bank transfer (automatic),86.45,2401.05,0,No,2.97,4,Yes,80.19,2481.24,No
0142-GVYSN,Male,0,No,No,26,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Electronic check,20.3,511.25,0,Offer C,13.34,0,Phone customers,346.84,858.09,No
0147-ESWWR,Female,1,Yes,No,39,Phone Service,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Electronic check,101.25,3949.15,9,No,20.15,21,Yes,785.85,4735,No
0148-DCDOS,Male,0,No,No,25,Phone Service,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank transfer (automatic),94.7,2362.1,0,No,34.88,8,Yes,872,3234.1,Yes
0151-ONTOV,Female,0,No,No,1,Phone Service,No,Fiber Optic,No,No,No,No,No,No,Month-to-Month,No,Mailed check,70.9,70.9,0,Offer E,39.81,23,Yes,39.81,110.71,Yes
0156-FVPTA,Male,0,Yes,No,22,Phone Service,No,DSL,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Electronic check,54.2,1152.7,1,Offer D,27.24,21,Yes,599.28,1751.98,Yes
0164-APGRB,Female,0,No,No,72,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Electronic check,114.9,8496.7,0,Offer A,48.37,5,Yes,3482.64,11979.34,No
0164-XAIRP,Female,0,No,No,24,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Bank transfer (automatic),19.55,470.2,0,No,10.64,0,Phone customers,255.36,725.56,No
0168-XZKBB,Female,0,Yes,No,19,Phone Service,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Yes,Electronic check,86.85,1564.4,8,No,7.84,16,Yes,148.96,1713.36,No
0174-QRVVY,Male,0,Yes,Yes,71,Phone Service,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Credit card (automatic),25.35,1847.55,2,No,9.2,0,Phone customers,653.2,2500.75,No
0177-PXBAT,Male,1,Yes,No,33,Phone Service,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank transfer (automatic),109.9,3694.7,7,No,25.15,20,Yes,829.95,4524.65,No
0178-CIIKR,Female,0,No,No,3,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,19.95,58,0,No,2.69,0,Phone customers,8.07,66.07,No
0178-SZBHO,Male,0,Yes,Yes,47,Phone Service,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-to-Month,No,Electronic check,87.2,4017.45,7,No,1.09,13,Yes,51.23,4068.68,No
0181-RITDD,Male,0,Yes,Yes,62,Phone Service,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed check,108.15,6825.65,2,No,1.76,20,Yes,109.12,6934.77,No
0186-CAERR,Male,0,No,No,71,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank transfer (automatic),116.3,8309.55,0,No,2.88,48,Yes,204.48,8514.03,No
0187-QSXOE,Male,1,Yes,No,7,Phone Service,No,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,Yes,Electronic check,89,605.45,8,No,41.97,11,Yes,293.79,899.24,No
0187-WZNAB,Female,0,Yes,Yes,27,Phone Service,No,Fiber Optic,Yes,No,No,No,No,No,Month-to-Month,No,Mailed check,74.4,1972.35,6,Offer C,46.66,28,Yes,1259.82,3232.17,No
0188-GWFLE,Male,0,No,No,2,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,20.05,33.7,0,No,1.81,0,Phone customers,3.62,37.32,No
0191-EQUUH,Female,0,No,Yes,25,Internet Service,No phone service,Cable,Yes,No,No,Yes,No,No,Two Year,No,Bank transfer (automatic),35.05,844.45,0,Offer C,0,75,Yes,0,844.45,No
0191-ZHSKZ,Male,1,No,No,30,Phone Service,No,DSL,Yes,Yes,No,No,Yes,Yes,One Year,Yes,Electronic check,74.75,2111.3,0,No,38.61,5,Yes,1158.3,3269.6,No
0193-ESZXP,Female,1,Yes,No,58,Phone Service,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit card (automatic),105.5,6205.5,1,No,16.94,19,Yes,982.52,7188.02,Yes
0195-IESCP,Male,0,Yes,No,10,Phone Service,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic check,85.25,855.3,1,Offer D,2.02,82,No,20.2,975.5,Yes
0196-JTUQI,Female,0,No,No,9,Phone Service,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Credit card (automatic),75.2,633.85,0,No,9.27,28,Yes,83.43,717.28,No
0196-VULGZ,Female,1,Yes,No,6,Phone Service,Yes,Fiber Optic,No,No,No,No,No,Yes,Month-to-Month,Yes,Electronic check,84.35,474.9,1,No,28.71,17,Yes,172.26,647.16,Yes
0197-PNKNK,Female,0,Yes,Yes,69,Phone Service,Yes,Fiber Optic,Yes,No,Yes,No,No,No,One Year,No,Bank transfer (automatic),84.45,5848.6,7,No,38.92,16,No,2685.48,8574.08,No
0201-MIBOL,Female,1,No,No,66,Phone Service,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Two Year,Yes,Bank transfer (automatic),102.4,6471.85,0,No,10.45,20,Yes,689.7,7161.55,No
0201-OAMXR,Female,0,No,No,70,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit card (automatic),115.55,8127.6,0,Offer A,10.21,52,Yes,714.7,8842.3,Yes
0203-HHYIJ,Male,0,No,No,25,Phone Service,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),25.3,676.35,0,Offer C,5.57,0,Phone customers,139.25,815.6,Yes
0206-OYVOC,Female,0,Yes,Yes,46,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Mailed check,19.25,864.2,1,Offer B,24.33,0,Phone customers,1119.18,1983.38,No
0206-TBWLC,Female,0,Yes,No,54,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Mailed check,114.65,6049.5,7,Offer B,11.4,26,Yes,615.6,6665.1,No
0207-MDKNV,Female,0,No,No,15,Phone Service,No,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Electronic check,105.1,1582.75,0,No,22.39,7,Yes,335.85,1918.6,Yes
0208-BPQEJ,Female,0,Yes,Yes,12,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Bank transfer (automatic),19.4,198.1,0,Offer D,8.25,0,Phone customers,99,297.1,No
0212-ISBBF,Female,0,No,No,22,Internet Service,No phone service,Cable,No,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Electronic check,50.35,1098.85,0,No,0,22,Yes,0,1098.85,No
0214-JHPFW,Female,0,Yes,No,70,Internet Service,No phone service,Cable,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank transfer (automatic),57.8,4039.3,9,No,0,85,Yes,0,4038.29,No
0215-BQKGS,Male,0,No,No,30,Phone Service,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Credit card (automatic),84.3,2438.6,0,Offer C,24.73,20,No,741.9,3310.5,No
